T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.99999	1e-05	42.6004	8.0212e+18	0.64359	0.00169214	0.64359	0.860576	3.93107
0.99999	1e-05	42.8004	9.79711e+18	0.643561	0.00168476	0.643561	0.860536	3.93125
0.99999	1e-05	43.0004	1.19662e+19	0.643532	0.00167745	0.643532	0.860498	3.93143
0.99999	1e-05	43.2004	1.46156e+19	0.643503	0.00167019	0.643503	0.860459	3.9316
0.99999	1e-05	43.4004	1.78515e+19	0.643475	0.001663	0.643475	0.860421	3.93178
0.99999	1e-05	43.6004	2.18039e+19	0.643447	0.00165587	0.643447	0.860383	3.93195
0.99999	1e-05	43.8004	2.66313e+19	0.643418	0.00164879	0.643418	0.860346	3.93212
0.99999	1e-05	44.0004	3.25276e+19	0.643391	0.00164178	0.643391	0.860308	3.93229
0.99999	1e-05	44.2004	3.97292e+19	0.643363	0.00163482	0.643363	0.860272	3.93246
0.99999	1e-05	44.4004	4.85254e+19	0.643336	0.00162792	0.643336	0.860235	3.93263
0.99999	1e-05	44.6004	5.92691e+19	0.643309	0.00162108	0.643309	0.860199	3.93279
0.99999	1e-05	44.8004	7.23914e+19	0.643282	0.0016143	0.643282	0.860163	3.93296
0.99999	1e-05	45.0004	8.84191e+19	0.643255	0.00160757	0.643255	0.860127	3.93312
0.99999	1e-05	45.2004	1.07995e+20	0.643229	0.00160089	0.643229	0.860092	3.93328
0.99999	1e-05	45.4004	1.31906e+20	0.643203	0.00159427	0.643203	0.860057	3.93344
0.99999	1e-05	45.6004	1.6111e+20	0.643177	0.00158771	0.643177	0.860022	3.9336
0.99999	1e-05	45.8004	1.9678e+20	0.643151	0.00158119	0.643151	0.859988	3.93376
0.99999	1e-05	46.0004	2.40348e+20	0.643125	0.00157473	0.643125	0.859954	3.93391
0.99999	1e-05	46.2004	2.93562e+20	0.6431	0.00156832	0.6431	0.85992	3.93407
0.99999	1e-05	46.4004	3.58557e+20	0.643075	0.00156196	0.643075	0.859886	3.93422
0.99999	1e-05	46.6004	4.37943e+20	0.64305	0.00155565	0.64305	0.859853	3.93438
0.99999	1e-05	46.8004	5.34904e+20	0.643025	0.00154939	0.643025	0.85982	3.93453
0.99999	1e-05	47.0004	6.53333e+20	0.643001	0.00154317	0.643001	0.859787	3.93468
0.99999	1e-05	47.2004	7.97983e+20	0.642976	0.00153701	0.642976	0.859754	3.93483
0.99999	1e-05	47.4004	9.74659e+20	0.642952	0.0015309	0.642952	0.859722	3.93497
0.99999	1e-05	47.6004	1.19045e+21	0.642928	0.00152483	0.642928	0.85969	3.93512
0.99999	1e-05	47.8004	1.45402e+21	0.642905	0.00151881	0.642905	0.859658	3.93527
0.99999	1e-05	48.0004	1.77594e+21	0.642881	0.00151283	0.642881	0.859627	3.93541
0.99999	1e-05	48.2004	2.16914e+21	0.642858	0.00150691	0.642858	0.859596	3.93555
0.99999	1e-05	48.4004	2.6494e+21	0.642834	0.00150102	0.642834	0.859565	3.93569
0.99999	1e-05	48.6004	3.23598e+21	0.642811	0.00149518	0.642811	0.859534	3.93584
0.99999	1e-05	48.8004	3.95244e+21	0.642789	0.00148939	0.642789	0.859503	3.93598
0.99999	1e-05	49.0004	4.82752e+21	0.642766	0.00148364	0.642766	0.859473	3.93611
0.99999	1e-05	49.2004	5.89634e+21	0.642744	0.00147793	0.642744	0.859443	3.93625
0.99999	1e-05	49.4004	7.20181e+21	0.642721	0.00147226	0.642721	0.859413	3.93639
0.99999	1e-05	49.6004	8.79631e+21	0.642699	0.00146664	0.642699	0.859384	3.93652
0.99999	1e-05	49.8004	1.07438e+22	0.642677	0.00146106	0.642677	0.859354	3.93666
0.99999	1e-05	50.0004	1.31226e+22	0.642655	0.00145552	0.642655	0.859325	3.93679
0.99999	1e-05	50.2005	1.60295e+22	0.642634	0.00145002	0.642634	0.859296	3.93692
0.99999	1e-05	50.4005	1.95785e+22	0.642612	0.00144456	0.642612	0.859268	3.93706
0.99999	1e-05	50.6005	2.39132e+22	0.642591	0.00143914	0.642591	0.859239	3.93719
0.99999	1e-05	50.8005	2.92077e+22	0.64257	0.00143376	0.64257	0.859211	3.93732
0.99999	1e-05	51.0005	3.56744e+22	0.642549	0.00142842	0.642549	0.859183	3.93744
0.99999	1e-05	51.2005	4.35728e+22	0.642528	0.00142312	0.642528	0.859155	3.93757
0.99999	1e-05	51.4005	5.32199e+22	0.642507	0.00141785	0.642507	0.859127	3.9377
0.99999	1e-05	51.6005	6.50029e+22	0.642487	0.00141263	0.642487	0.8591	3.93782
0.99999	1e-05	51.8005	7.93948e+22	0.642467	0.00140744	0.642467	0.859073	3.93795
0.99999	1e-05	52.0005	9.6973e+22	0.642446	0.00140228	0.642446	0.859046	3.93807
0.99999	1e-05	52.2005	1.18443e+23	0.642426	0.00139717	0.642426	0.859019	3.9382
0.99999	1e-05	52.4005	1.44667e+23	0.642406	0.00139209	0.642406	0.858992	3.93832
0.99999	1e-05	52.6005	1.76696e+23	0.642387	0.00138705	0.642387	0.858966	3.93844
0.99999	1e-05	52.8005	2.15817e+23	0.642367	0.00138204	0.642367	0.85894	3.93856
0.99999	1e-05	53.0005	2.636e+23	0.642347	0.00137707	0.642347	0.858914	3.93868
0.99999	1e-05	53.2005	3.21962e+23	0.642328	0.00137213	0.642328	0.858888	3.9388
0.99999	1e-05	53.4005	3.93245e+23	0.642309	0.00136722	0.642309	0.858862	3.93891
0.99999	1e-05	53.6005	4.8031e+23	0.64229	0.00136235	0.64229	0.858836	3.93903
0.99999	1e-05	53.8005	5.86652e+23	0.642271	0.00135752	0.642271	0.858811	3.93915
0.99999	1e-05	54.0005	7.16539e+23	0.642252	0.00135271	0.642252	0.858786	3.93926
0.99999	1e-05	54.2005	8.75182e+23	0.642233	0.00134794	0.642233	0.858761	3.93938
0.99999	1e-05	54.4005	1.06895e+24	0.642215	0.0013432	0.642215	0.858736	3.93949
0.99999	1e-05	54.6005	1.30562e+24	0.642197	0.0013385	0.642197	0.858712	3.9396
0.99999	1e-05	54.8005	1.59469e+24	0.642178	0.00133382	0.642178	0.858687	3.93972
0.99999	1e-05	55.0005	1.94775e+24	0.64216	0.00132918	0.64216	0.858663	3.93983
0.99999	1e-05	55.2005	2.37899e+24	0.642142	0.00132457	0.642142	0.858639	3.93994
0.99999	1e-05	55.4005	2.90571e+24	0.642124	0.00131999	0.642124	0.858615	3.94005
0.99999	1e-05	55.6005	3.54904e+24	0.642107	0.00131544	0.642107	0.858591	3.94016
0.99999	1e-05	55.8005	4.33481e+24	0.642089	0.00131092	0.642089	0.858568	3.94026
0.99999	1e-05	56.0005	5.29455e+24	0.642071	0.00130643	0.642071	0.858544	3.94037
0.99999	1e-05	56.2005	6.46677e+24	0.642054	0.00130197	0.642054	0.858521	3.94048
0.99999	1e-05	56.4005	7.89853e+24	0.642037	0.00129754	0.642037	0.858498	3.94058
0.99999	1e-05	56.6005	9.64729e+24	0.64202	0.00129313	0.64202	0.858475	3.94069
0.99999	1e-05	56.8005	1.17832e+25	0.642003	0.00128876	0.642003	0.858452	3.94079
0.99999	1e-05	57.0005	1.43921e+25	0.641986	0.00128442	0.641986	0.85843	3.9409
0.99999	1e-05	57.2005	1.75785e+25	0.641969	0.0012801	0.641969	0.858407	3.941
0.99999	1e-05	57.4005	2.14704e+25	0.641952	0.00127581	0.641952	0.858385	3.9411
0.99999	1e-05	57.6005	2.62241e+25	0.641936	0.00127155	0.641936	0.858363	3.94121
0.99999	1e-05	57.8005	3.20301e+25	0.641919	0.00126732	0.641919	0.858341	3.94131
0.99999	1e-05	58.0005	3.91217e+25	0.641903	0.00126311	0.641903	0.858319	3.94141
0.99999	1e-05	58.2005	4.77833e+25	0.641886	0.00125893	0.641886	0.858297	3.94151
0.99999	1e-05	58.4005	5.83627e+25	0.64187	0.00125478	0.64187	0.858275	3.94161
0.99999	1e-05	58.6005	7.12844e+25	0.641854	0.00125065	0.641854	0.858254	3.9417
0.99999	1e-05	58.8005	8.70669e+25	0.641838	0.00124655	0.641838	0.858233	3.9418
0.99999	1e-05	59.0005	1.06344e+26	0.641822	0.00124248	0.641822	0.858212	3.9419
0.99999	1e-05	59.2005	1.29889e+26	0.641807	0.00123843	0.641807	0.858191	3.942
0.99999	1e-05	59.4005	1.58646e+26	0.641791	0.00123441	0.641791	0.85817	3.94209
