l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.66237e-24

# DK0 = 0.0390625	(data set 2)
0.5328	0.355311	0.0546046
0.5661	0.35758	0.055161
0.5994	0.359708	0.0556822
0.6327	0.361701	0.0561698
0.666	0.363566	0.0566254
0.6993	0.365309	0.0570505
0.7326	0.366935	0.057447
0.7659	0.368452	0.0578163
0.7992	0.369865	0.05816
0.8325	0.371181	0.0584796
0.8658	0.372404	0.0587765
0.8991	0.373541	0.0590523
0.9324	0.374597	0.0593082
0.9657	0.375576	0.0595454
0.999	0.376485	0.0597654
1.0323	0.377328	0.0599691
1.0656	0.378108	0.0601577
1.0989	0.378831	0.0603323
1.1322	0.3795	0.0604937
1.1655	0.380119	0.0606431
1.1988	0.380691	0.0607811
1.2321	0.38122	0.0609086
1.2654	0.381709	0.0610265
1.2987	0.382161	0.0611353
1.332	0.382578	0.0612358
1.3653	0.382963	0.0613285
1.3986	0.383319	0.0614141
1.4319	0.383648	0.061493
1.4652	0.38395	0.0615659
1.4985	0.38423	0.0616331
1.5318	0.384488	0.061695
1.5651	0.384726	0.0617522
1.5984	0.384945	0.0618048
1.6317	0.385147	0.0618534
1.665	0.385333	0.0618981
1.6983	0.385505	0.0619393
1.7316	0.385664	0.0619773
1.7649	0.38581	0.0620123
1.7982	0.385944	0.0620446
1.8315	0.386068	0.0620743
1.8648	0.386182	0.0621016
1.8981	0.386287	0.0621268
1.9314	0.386384	0.06215
1.9647	0.386474	0.0621714
1.998	0.386556	0.0621911
2.0313	0.386632	0.0622092
2.0646	0.386701	0.0622259
2.0979	0.386766	0.0622412
2.1312	0.386825	0.0622553
2.1645	0.38688	0.0622683
2.1978	0.38693	0.0622803
2.2311	0.386976	0.0622913
2.2644	0.387019	0.0623014
2.2977	0.387058	0.0623108
2.331	0.387094	0.0623193
2.3643	0.387128	0.0623272
2.3976	0.387158	0.0623344
2.4309	0.387187	0.0623411
2.4642	0.387213	0.0623472
2.4975	0.387237	0.0623529
2.5308	0.387259	0.062358
2.5641	0.38728	0.0623628
2.5974	0.387298	0.0623671
2.6307	0.387316	0.0623711
2.664	0.387332	0.0623748
2.6973	0.387347	0.0623781
2.7306	0.38736	0.0623812
2.7639	0.387373	0.062384
2.7972	0.387385	0.0623866
2.8305	0.387395	0.0623889
2.8638	0.387405	0.062391
2.8971	0.387415	0.062393
2.9304	0.387423	0.0623948
2.9637	0.387431	0.0623964
2.997	0.387439	0.0623978
3.0303	0.387445	0.0623991
3.0636	0.387452	0.0624003
3.0969	0.387458	0.0624014
3.1302	0.387463	0.0624023
3.1635	0.387468	0.0624032
3.1968	0.387473	0.0624039
3.2301	0.387478	0.0624046
3.2634	0.387482	0.0624051
3.2967	0.387486	0.0624056
3.33	0.38749	0.062406
3.3633	0.387494	0.0624063
3.3966	0.387497	0.0624066
3.4299	0.3875	0.0624068
3.4632	0.387503	0.0624069
3.4965	0.387506	0.0624069
3.5298	0.387509	0.062407
3.5631	0.387512	0.0624069
3.5964	0.387515	0.0624068
3.6297	0.387518	0.0624066
3.663	0.38752	0.0624064
3.6963	0.387523	0.0624061
3.7296	0.387525	0.0624058
3.7629	0.387528	0.0624055
3.7962	0.387531	0.062405
3.8295	0.387533	0.0624046
3.8628	0.387536	0.0624041
3.8961	0.387538	0.0624035
3.9294	0.387541	0.0624029
3.9627	0.387544	0.0624022
3.996	0.387546	0.0624014
4.0293	0.387549	0.0624007
4.0626	0.387552	0.0623998
4.0959	0.387555	0.0623989
4.1292	0.387558	0.062398
4.1625	0.387561	0.0623969
4.1958	0.387565	0.0623958
4.2291	0.387568	0.0623947
4.2624	0.387571	0.0623935
4.2957	0.387575	0.0623922
4.329	0.387579	0.0623908
4.3623	0.387583	0.0623894
4.3956	0.387587	0.0623878
4.4289	0.387591	0.0623862
4.4622	0.387596	0.0623845
4.4955	0.387601	0.0623828
4.5288	0.387606	0.0623809
4.5621	0.387611	0.0623789
4.5954	0.387616	0.0623768
4.6287	0.387622	0.0623746
4.662	0.387628	0.0623723
4.6953	0.387634	0.0623698
4.7286	0.387641	0.0623673
4.7619	0.387647	0.0623646
4.7952	0.387655	0.0623618
4.8285	0.387662	0.0623588
4.8618	0.38767	0.0623556
4.8951	0.387678	0.0623523
4.9284	0.387687	0.0623489
4.9617	0.387696	0.0623452
4.995	0.387706	0.0623414
5.0283	0.387716	0.0623374
5.0616	0.387727	0.0623331
5.0949	0.387738	0.0623287
5.1282	0.38775	0.062324
5.1615	0.387762	0.0623191
5.1948	0.387775	0.0623139
5.2281	0.387789	0.0623085
5.2614	0.387803	0.0623028
5.2947	0.387818	0.0622968
5.328	0.387834	0.0622905
5.3613	0.38785	0.0622839
5.3946	0.387868	0.062277
5.4279	0.387886	0.0622697
5.4612	0.387905	0.062262
5.4945	0.387925	0.0622539
5.5278	0.387947	0.0622454
5.5611	0.387969	0.0622365
5.5944	0.387992	0.0622272
5.6277	0.388017	0.0622173
5.661	0.388043	0.062207
5.6943	0.38807	0.0621962
5.7276	0.388099	0.0621848
5.7609	0.388129	0.0621728
5.7942	0.38816	0.0621602
5.8275	0.388193	0.062147
5.8608	0.388228	0.0621331
5.8941	0.388265	0.0621185
5.9274	0.388303	0.0621031
5.9607	0.388344	0.062087
5.994	0.388386	0.0620701
6.0273	0.388431	0.0620523
6.0606	0.388478	0.0620337
6.0939	0.388527	0.062014
6.1272	0.388579	0.0619934
6.1605	0.388634	0.0619718
6.1938	0.388691	0.061949
6.2271	0.388751	0.0619252
6.2604	0.388814	0.0619001
6.2937	0.388881	0.0618737
6.327	0.38895	0.061846
6.3603	0.389024	0.061817
6.3936	0.389101	0.0617864
