r0    rhos0    gamma0 
0.664   0.979481   1.79472e-05
0.696   0.978711   1.56737e-05
0.728   0.977948   1.37235e-05
0.76   0.977189   1.20494e-05
0.792   0.976432   1.06111e-05
0.872   0.974533   7.83398e-06
0.952   0.972589   5.91461e-06
1.032   0.970556   4.57236e-06
1.112   0.968377   3.61738e-06
1.192   0.965991   2.92143e-06
1.272   0.96333   2.39809e-06
1.352   0.960324   1.98953e-06
1.432   0.956904   1.65754e-06
1.512   0.953012   1.37755e-06
1.592   0.948612   1.13444e-06
1.672   0.943705   9.19683e-07
1.752   0.938336   7.29239e-07
1.832   0.932616   5.61913e-07
1.912   0.926712   4.18018e-07
1.992   0.920848   2.98233e-07
2.072   0.915277   2.02696e-07
2.152   0.910244   1.30387e-07
2.232   0.905946   7.89153e-08
2.312   0.902492   4.4731e-08
2.392   0.89989   2.36853e-08
2.472   0.898055   1.17215e-08
2.552   0.896843   5.4437e-09
2.632   0.896087   2.39031e-09
2.712   0.895639   1.00177e-09
2.792   0.895385   4.04474e-10
2.872   0.895246   1.58494e-10
2.952   0.895171   6.05616e-11
3.032   0.895132   2.26246e-11
3.112   0.895113   8.27382e-12
3.192   0.895103   2.96341e-12
3.272   0.895098   1.03966e-12
3.352   0.895096   3.57239e-13
3.432   0.895095   1.20203e-13
3.512   0.895094   3.95957e-14
3.592   0.895094   1.27654e-14
3.672   0.895094   4.02675e-15
3.752   0.895094   1.24246e-15
3.832   0.895094   3.74882e-16
3.912   0.895094   1.10581e-16
3.992   0.895094   3.1881e-17
4.072   0.895094   8.98144e-18
4.152   0.895094   2.47187e-18
4.232   0.895094   6.64485e-19
4.312   0.895094   1.74437e-19
4.392   0.895094   4.4711e-20
4.472   0.895094   1.11877e-20
4.552   0.895094   2.73245e-21
4.632   0.895094   6.51314e-22
4.712   0.895094   1.51497e-22
4.792   0.895094   3.43828e-23
4.872   0.895094   7.61305e-24
4.952   0.895094   1.64443e-24
5.032   0.895094   3.46478e-25
5.112   0.895094   7.12042e-26
5.192   0.895094   1.42716e-26
5.272   0.895094   2.78968e-27
5.352   0.895094   5.31769e-28
5.432   0.895094   9.88455e-29
5.512   0.895094   1.79158e-29
5.592   0.895094   3.16624e-30
5.672   0.895094   5.45585e-31
5.752   0.895094   9.16598e-32
5.832   0.895094   1.50134e-32
5.912   0.895094   2.39748e-33
5.992   0.895094   3.73243e-34
6.072   0.895094   5.66477e-35
6.152   0.895094   8.38146e-36
6.232   0.895094   1.20891e-36
6.312   0.895094   1.69982e-37
6.392   0.895094   2.3299e-38
6.472   0.895094   3.11309e-39
6.552   0.895094   4.05475e-40
6.632   0.895094   5.14813e-41
6.712   0.895094   6.37154e-42
6.792   0.895094   7.6868e-43
6.872   0.895094   9.03963e-44
6.952   0.895094   1.03623e-44
7.032   0.895094   1.15788e-45
7.112   0.895094   1.26115e-46
7.192   0.895094   1.33895e-47
7.272   0.895094   1.38566e-48
7.352   0.895094   1.39779e-49
7.432   0.895094   1.37442e-50
7.512   0.895094   1.31731e-51
7.592   0.895094   1.23069e-52
7.672   0.895094   1.12072e-53
7.752   0.895094   9.94799e-55
7.832   0.895094   8.60719e-56
7.912   0.895094   7.25898e-57
7.992   0.895094   7.41679e-58
r6       rhos6       gamma6  
0   1   0.00042243 
0.024   0.998727   0.000360854
0.056   0.997495   0.000308349
0.088   0.9963   0.000263568
0.12   0.995142   0.000225366
0.152   0.99402   0.00019277
0.184   0.99293   0.00016495
0.216   0.991873   0.000141202
0.248   0.990847   0.000120925
0.28   0.989849   0.000103609
0.312   0.98888   8.8818e-05
0.344   0.987937   7.61818e-05
0.376   0.987019   6.53841e-05
0.408   0.986126   5.61555e-05
0.44   0.985255   4.82665e-05
0.472   0.984405   4.15212e-05
0.504   0.983575   3.57526e-05
0.536   0.982764   3.0818e-05
0.568   0.981971   2.6596e-05
0.6   0.981194   2.29826e-05
0.632   0.980431   1.98892e-05
0.664   0.979681   1.72403e-05
0.696   0.978944   1.49711e-05
0.728   0.978216   1.30264e-05
0.76   0.977497   1.1359e-05
0.792   0.976785   9.92869e-06
0.872   0.975022   7.17595e-06
0.952   0.973259   5.2872e-06
1.032   0.97146   3.98123e-06
1.112   0.969581   3.06775e-06
1.192   0.967575   2.41798e-06
1.272   0.965386   1.94483e-06
1.352   0.962954   1.5896e-06
1.432   0.960217   1.31296e-06
1.512   0.957115   1.08893e-06
1.592   0.953598   9.00762e-07
1.672   0.949639   7.38146e-07
1.752   0.94524   5.95225e-07
1.832   0.940449   4.69175e-07
1.912   0.935369   3.59083e-07
1.992   0.930157   2.6503e-07
2.072   0.925016   1.87323e-07
2.152   0.920173   1.25891e-07
2.232   0.915844   7.98821e-08
2.312   0.912195   4.75466e-08
2.392   0.909312   2.64049e-08
2.472   0.907185   1.3638e-08
2.552   0.905724   6.55111e-09
2.632   0.904788   2.93872e-09
2.712   0.904224   1.24124e-09
2.792   0.903904   4.99093e-10
2.872   0.903729   1.93197e-10
2.952   0.903637   7.26386e-11
3.032   0.90359   2.66752e-11
3.112   0.903567   9.59497e-12
3.192   0.903555   3.38428e-12
3.272   0.903549   1.17084e-12
3.352   0.903547   3.97281e-13
3.432   0.903545   1.32171e-13
3.512   0.903545   4.30984e-14
3.592   0.903545   1.37689e-14
3.672   0.903545   4.30805e-15
3.752   0.903544   1.3196e-15
3.832   0.903544   3.95568e-16
3.912   0.903544   1.16004e-16
3.992   0.903544   3.32701e-17
4.072   0.903544   9.32905e-18
4.152   0.903544   2.55684e-18
4.232   0.903544   6.84762e-19
4.312   0.903544   1.79162e-19
4.392   0.903544   4.57853e-20
4.472   0.903544   1.14261e-20
4.552   0.903544   2.78405e-21
4.632   0.903544   6.62213e-22
4.712   0.903544   1.53742e-22
4.792   0.903544   3.48338e-23
4.872   0.903544   7.7014e-24
4.952   0.903544   1.66131e-24
5.032   0.903544   3.49621e-25
5.112   0.903544   7.17747e-26
5.192   0.903544   1.43726e-26
5.272   0.903544   2.8071e-27
5.352   0.903544   5.34698e-28
5.432   0.903544   9.93254e-29
5.512   0.903544   1.79925e-29
5.592   0.903544   3.17817e-30
5.672   0.903544   5.47395e-31
5.752   0.903544   9.19274e-32
5.832   0.903544   1.5052e-32
5.912   0.903544   2.40289e-33
5.992   0.903544   3.73983e-34
6.072   0.903544   5.67464e-35
6.152   0.903544   8.39428e-36
6.232   0.903544   1.21054e-36
6.312   0.903544   1.70182e-37
6.392   0.903544   2.3323e-38
6.472   0.903544   3.11591e-39
6.552   0.903544   4.05797e-40
6.632   0.903544   5.15171e-41
6.712   0.903544   6.37542e-42
6.792   0.903544   7.6909e-43
6.872   0.903544   9.04385e-44
6.952   0.903544   1.03665e-44
7.032   0.903544   1.15829e-45
7.112   0.903544   1.26154e-46
7.192   0.903544   1.33931e-47
7.272   0.903544   1.38599e-48
7.352   0.903544   1.39808e-49
7.432   0.903544   1.37467e-50
7.512   0.903544   1.31752e-51
7.592   0.903544   1.23086e-52
7.672   0.903544   1.12086e-53
